"Helsingin asuntokuntien tulot ja verotus 31.12."

"Alue","Tulotyyppi","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"091 140 Taka-Töölö","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,20932,21160,21261,21830,22081,23448,24350,26271,27979,26447,27539,28580,29051,29259,29546,29918,30265
"091 105 Lauttasaaren peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,39694,40538,39900,41023,40041,42129,45995,47259,49626,48964,50139,52123,52984,53931,55460,57164,57996
"091 105 Lauttasaaren peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,22157,22472,22101,22827,23198,24157,26048,27121,27866,27318,28324,29077,29299,29740,30377,31044,31395
"091 310 Lauttasaari (Ent.)","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,39694,40538,39900,41023,40041,42129,45995,47259,49626,48964,.,.,.,.,.,.,.
"091 310 Lauttasaari (Ent.)","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,22157,22472,22101,22827,23198,24157,26048,27121,27866,27318,.,.,.,.,.,.,.
"091 311 Kotkavuori","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43593,45273,46086,46229,47487,48768,50171
"091 311 Kotkavuori","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26054,26899,27088,27036,27505,27975,28709
"091 312 Vattuniemi","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,57436,61412,61771,63205,65289,67200,66671
"091 312 Vattuniemi","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30957,32676,32612,33268,34159,35058,34854
"091 313 Myllykallio","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51546,51490,52628,53803,54672,56326,57953
"091 313 Myllykallio","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28449,27954,28394,29063,29469,29988,30529
"091 314 Koivusaari","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,0,..,..,..
"091 314 Koivusaari","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,0,..,..,..
"091 2 Läntinen suurpiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,31891,32644,32340,32619,31657,33386,35292,36748,40311,37961,38525,39212,40017,40319,40923,41424,41031
"091 2 Läntinen suurpiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,16620,17137,17005,17305,17546,18378,19354,20377,21929,20629,21254,21647,22048,22136,22368,22637,22461
"091 201 Reijolan peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,30510,31115,30964,31126,30307,31627,33985,35636,39685,37037,38570,39222,39882,40427,41075,41773,41825
"091 201 Reijolan peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,16592,17047,16991,17289,17605,18347,19754,20778,22786,21198,21958,22294,22644,22795,23043,23385,23455
"091 150 Meilahti","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,30811,31788,31567,31533,30538,31657,34658,36315,40629,37176,40158,40423,41447,42155,43192,44147,44644
"091 150 Meilahti","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,17043,17695,17431,17612,17963,18493,20310,21279,23280,21374,25336,25414,25733,26075,26652,27137,27487
"091 160 Ruskeasuo (Ent.)","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,31068,31206,31340,31613,31056,32511,34187,35864,39447,37241,.,.,.,.,.,.,.
"091 160 Ruskeasuo (Ent.)","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,15729,15992,16184,16629,17054,17954,18951,20003,21873,20478,.,.,.,.,.,.,.
"091 161 Vanha Ruskeasuo","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38122,39108,39371,39524,39991,40269,40771
"091 161 Vanha Ruskeasuo","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22705,23202,23426,23190,23089,23331,23826
"091 162 Pikku Huopalahti","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38216,38884,39163,39561,39874,40223,39926
"091 162 Pikku Huopalahti","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19010,19378,19709,19756,19841,20028,19897
"091 180 Laakso","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,27942,28717,27987,28397,27317,28784,31083,32646,37316,35938,36110,37234,38644,39733,40625,42220,41552
"091 180 Laakso","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,18071,18420,18253,18463,18293,19271,20675,21806,24324,23181,23387,24002,24526,25051,25513,26050,25505
"091 202 Munkkiniemen peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,39159,41387,40457,41602,40373,43590,45524,46528,49759,48689,49319,50085,51595,52651,54159,56663,55323
"091 202 Munkkiniemen peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,21031,22285,21700,22414,22650,24239,25161,25984,27310,26565,27299,27669,28372,28885,29548,30811,30247
"091 301 Vanha Munkkiniemi","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,40504,44220,42645,43853,42032,44910,47496,48265,51949,50837,52342,52595,55161,56160,58080,59669,58862
"091 301 Vanha Munkkiniemi","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,21948,23997,22962,23603,23652,25086,26469,27191,28752,27877,29108,29160,30375,30845,31671,32487,32033
