"Helsingin asuntokuntien tulot ja verotus 31.12."

"Alue","Tulotyyppi","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"091 384 Tattariharju","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 384 Tattariharju","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 385 Malmin lentokenttä","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,50170,48541,36856,35364,35966,39128,41074,43589,46693,44519,44771,45450,45974,46162,45719,46403,45321
"091 385 Malmin lentokenttä","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,17478,17098,14163,14029,14381,15651,16711,18051,19391,18716,19113,19779,19997,19870,20045,20671,20222
"091 391 Tapaninvainio","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,43488,44357,44412,45091,45305,47716,50877,53300,55238,55033,55987,57178,58260,58799,58732,58505,58167
"091 391 Tapaninvainio","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,17297,17784,17914,18235,18626,19688,20941,22370,23353,23177,23835,24508,25089,25131,25370,25297,25265
"091 392 Tapanila","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,32767,33454,33645,33226,32382,33746,36756,38836,42840,40557,41366,42022,42878,43423,43818,44277,43071
"091 392 Tapanila","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,14464,14779,15052,15048,15140,15747,17281,18676,20074,19030,19721,20138,20688,21102,21250,21627,21194
"091 504 Suutarilan peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,35644,36047,36176,36110,35584,37505,39585,41499,44595,42649,43493,44117,45024,45262,45485,45794,45034
"091 504 Suutarilan peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,14000,14235,14361,14570,14843,15666,16692,17727,18796,18116,18811,19226,19666,19802,19934,20128,19978
"091 401 Siltamäki","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,33948,34025,33972,33600,33287,34920,36745,38218,41318,39475,39490,40021,41032,41062,41363,41702,40992
"091 401 Siltamäki","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,14257,14344,14476,14548,14846,15442,16444,17352,18414,17646,17640,17961,18423,18470,18643,18832,18675
"091 403 Töyrynummi","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,38306,39253,39621,40005,39177,41504,43966,46577,49739,47604,53243,54256,54915,55773,55835,56039,55539
"091 403 Töyrynummi","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,13657,14088,14209,14600,14839,15967,17024,18227,19319,18762,21374,22060,22473,22838,22883,23087,23066
"091 505 Puistolan peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,37584,38203,38157,38605,37827,39793,42124,44002,47050,45390,46131,47381,47764,48128,48256,48197,47569
"091 505 Puistolan peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,14893,15200,15255,15610,15871,16575,17499,18645,19653,19025,19759,20422,20665,20796,20951,20919,20725
"091 402 Tapulikaupunki","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,30870,31200,30777,30630,29790,31379,33458,35265,38654,36347,36733,37769,38281,38578,38453,38320,37526
"091 402 Tapulikaupunki","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,13413,13666,13600,13747,14046,14623,15525,16682,17911,16839,17375,18005,18274,18371,18315,18181,17916
"091 411 Puistola","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,45074,45931,46225,47193,46550,49173,51472,53461,55967,55652,56650,58430,59460,59989,61102,60970,60465
"091 411 Puistola","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,16567,16939,17070,17523,17794,18716,19555,20832,21614,21594,22446,23252,23768,23930,24508,24559,24474
"091 412 Heikinlaakso","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,45222,46045,45699,47209,46710,48586,51784,53836,56555,55517,57529,59216,60500,60828,60474,60257,59195
"091 412 Heikinlaakso","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,15565,15813,15899,16615,16690,17334,18497,19375,20237,19884,21082,21667,21894,22204,22375,22454,22060
"091 413 Tattarisuo","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,35170,..,..,..,..,..,..,..
"091 413 Tattarisuo","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,16135,..,..,..,..,..,..,..
"091 415 Alppikylä","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36609,34563,31970,33637,36950,38760,40753
"091 415 Alppikylä","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16608,16368,15733,16151,17244,17671,18292
"091 506 Jakomäen peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,22455,22648,22359,22404,20975,22270,23827,24227,27796,24262,24618,25207,24610,25975,26099,26359,25287
"091 506 Jakomäen peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,10594,10832,10866,10946,10892,11259,11861,12436,13878,12053,12573,13081,12872,13191,13293,13404,13022
"091 414 Jakomäki","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,22455,22648,22359,22404,20975,22270,23827,24227,27796,24262,24618,25207,24610,25975,26099,26359,25287
"091 414 Jakomäki","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,10594,10832,10866,10946,10892,11259,11861,12436,13878,12053,12573,13081,12872,13191,13293,13404,13022
"091 6 Kaakkoinen suurpiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,34705,35325,35707,36278,34885,36759,39088,40865,43851,41834,42741,43351,43955,44523,44740,44695,44511
"091 6 Kaakkoinen suurpiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,16792,17195,17443,17853,17896,18812,20021,21161,22332,21298,22074,22371,22729,22929,23046,23145,23176
"091 601 Kulosaaren peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,51144,49262,49394,51029,48557,50990,54270,56217,58267,58966,62296,63922,64592,65929,67470,67113,65304
"091 601 Kulosaaren peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,25011,24234,24073,24802,24862,25836,27178,28838,29040,29349,31567,31995,32143,32465,33415,32935,32005
"091 190 Mustikkamaa-Korkeasaari","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 190 Mustikkamaa-Korkeasaari","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 420 Kulosaari","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,51291,49397,49495,51138,48643,51097,54357,56306,58347,59053,62324,63946,64610,66001,67573,67198,65374
"091 420 Kulosaari","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,25093,24312,24151,24857,24923,25912,27244,28895,29087,29399,31617,32032,32176,32515,33473,32999,32029
"091 602 Herttoniemen peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,30042,30539,30958,31183,29787,31402,33511,35028,38532,35852,36408,37050,37670,38129,38351,38837,39081
"091 602 Herttoniemen peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,15347,15720,15976,16184,16156,16989,18152,19171,20747,19250,19882,20209,20606,20784,20847,21144,21381
"091 431 Länsi-Herttoniemi","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,26168,26351,26785,26865,25781,26704,28405,29455,33202,30330,30641,31704,32700,33253,33720,34178,34182
"091 431 Länsi-Herttoniemi","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,14800,14936,15155,15246,15377,15906,16966,17755,19652,17891,18466,18959,19472,19706,19747,20029,20137
"091 432 Roihuvuori","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,25167,25282,25373,24999,24028,25284,26659,27586,31265,28339,28518,29003,29064,29458,29735,30123,30141
"091 432 Roihuvuori","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,13554,13831,13842,13763,13826,14453,15265,15944,17550,15856,16251,16567,16686,16895,17009,17237,17253
"091 433 Herttoniemen yritysalue","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,36821,40058,36178,38548,40602
"091 433 Herttoniemen yritysalue","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,22092,22269,21125,22089,23937
"091 434 Herttoniemenranta","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,32606,33550,33902,34733,33234,35130,37578,40339,43744,40896,41700,42488,42883,42750,42765,42722,42643
"091 434 Herttoniemenranta","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,14893,15496,15877,16382,16279,17320,18635,20227,21963,20493,21179,21556,21939,21751,21770,21916,21995
"091 440 Tammisalo","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,63887,66327,66980,67592,64090,68737,74659,75192,76122,76185,79039,78716,80385,82678,83355,85161,89783
"091 440 Tammisalo","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,25716,26642,27179,27549,26907,28566,30473,31365,31097,31178,32541,32248,32554,33901,34374,35159,37104
"091 603 Laajasalon peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,39252,40840,41067,41956,40865,43090,45601,47818,50140,48652,49620,50032,50905,51605,51564,50012,49279
"091 603 Laajasalon peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,17243,17988,18270,18914,19062,20094,21343,22578,23329,22739,23425,23653,24069,24293,24362,24151,24019
"091 480 Vartiosaari","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 480 Vartiosaari","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 491 Yliskylä","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,35515,36834,36645,37025,36443,38136,39640,41190,43656,41893,42317,43077,43754,43901,44206,43005,42220
"091 491 Yliskylä","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,17093,17701,17854,18229,18641,19416,20286,21353,22203,21316,21732,22134,22548,22467,22603,22380,22190
"091 492 Jollas","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,53215,55884,57828,60048,57408,61248,68072,72877,74603,74588,78451,77417,77668,81506,79621,80176,80762
"091 492 Jollas","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,18269,19494,20200,21197,20833,22530,25096,26806,27496,27724,29334,29177,29211,30604,30235,30199,30645
"091 493 Tullisaari","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41092,41932
"091 493 Tullisaari","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22528,22722
"091 494 Kruunuvuorenranta","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,73481,78169,71924,78007,72531,83674,86504,92426,85677,88594,92575,87221,90477,86996,89258,88894,90709
"091 494 Kruunuvuorenranta","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,26951,28360,25276,28101,26226,30492,30964,33839,30989,32389,33618,31517,32901,32712,32392,32453,32674
"091 495 Hevossalmi","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,41903,43262,45519,47777,46061,47856,50373,52419,55840,53040,54255,55593,57654,58049,58539,58764,57472
"091 495 Hevossalmi","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,15723,16357,17431,18669,18393,19028,20201,21204,22164,21636,22417,22961,23657,24031,24591,25112,24517
"091 500 Villinki","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 500 Villinki","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 510 Santahamina","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,38150,39613,38586,39792,37575,38357,43489,46235,48048,48584,49992,51995,55291,55546,55438,54220,53708
"091 510 Santahamina","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,14234,15043,14631,15148,15477,16425,18608,19574,20562,20030,20951,21436,21994,21265,21756,21770,21624
"091 532 Itäsaaret","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 532 Itäsaaret","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 7 Itäinen suurpiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,28625,29084,29152,29349,28534,29941,31848,33153,36332,33980,34234,34832,35472,35603,35523,35569,35055
"091 7 Itäinen suurpiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,13379,13646,13785,13971,14167,14780,15725,16559,17865,16737,17208,17517,17833,17862,17847,17860,17658
"091 701 Vartiokylän peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,32674,32901,32841,33488,32663,34152,36351,37402,40305,38330,38690,39191,40008,40089,40019,40134,39773
"091 701 Vartiokylän peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,15386,15659,15798,16172,16391,17116,18167,18908,20094,19148,19700,19886,20430,20380,20410,20480,20267
"091 451 Vartioharju","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,41540,42317,42983,44467,44026,46490,49820,51670,54238,53129,53867,54923,56553,56838,56742,57383,56790
"091 451 Vartioharju","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,16793,17295,17728,18443,18655,19582,21079,22179,22779,22528,23412,23860,24758,24946,25255,25431,25179
"091 452 Puotila","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,27378,27047,26481,26431,25464,26738,28319,29620,32422,30160,30284,30575,31044,31354,31375,31405,30856
"091 452 Puotila","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,15158,15122,14757,14757,14814,15551,16439,17278,18625,17129,17498,17613,17937,18004,17997,18003,17670
"091 453 Puotinharju","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,25253,25469,25672,25416,24633,25329,26831,27557,30232,28522,28753,28342,28989,29231,28729,29050,28654
"091 453 Puotinharju","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,13492,13700,13796,13831,13962,14417,15318,16103,17357,16353,16742,16290,16668,16646,16307,16442,16207
"091 455 Marjaniemi","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,68679,70932,71514,76480,75916,79955,83270,82463,83129,82694,84380,86008,91631,91290,89787,89209,90586
"091 455 Marjaniemi","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,24716,25390,25716,27517,28386,29533,30798,30419,31232,31213,32328,32965,34898,34678,34294,34836,35587
"091 456 Roihupelto","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 456 Roihupelto","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 457 Itäkeskus","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,24976,24721,24514,24414,23358,24159,25767,26852,30618,27378,27071,27950,28009,27695,27801,27155,27017
"091 457 Itäkeskus","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,11823,11912,12112,12048,12153,12595,13197,13904,15741,14192,14308,14625,14833,14532,14672,14396,14173
"091 702 Myllypuron peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,27160,27737,27668,27782,26824,28515,30431,31363,34722,33152,33514,34470,35380,35678,35957,37000,36682
"091 702 Myllypuron peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,12989,13390,13426,13395,13622,14338,15209,15880,17083,16464,17022,17269,17531,17735,17756,17981,17989
"091 454 Myllypuro","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,27160,27737,27668,27782,26824,28515,30431,31363,34722,33152,33514,34470,35380,35678,35957,37000,36682
"091 454 Myllypuro","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,12989,13390,13426,13395,13622,14338,15209,15880,17083,16464,17022,17269,17531,17735,17756,17981,17989
"091 703 Mellunkylän peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,26365,26625,26716,26663,25698,26684,28319,29532,32666,30016,30304,30771,31252,31358,31293,31020,30477
"091 703 Mellunkylän peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,12365,12525,12630,12695,12760,13167,14014,14827,16147,14841,15257,15538,15729,15721,15711,15583,15295
"091 471 Kontula","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,24815,25148,25038,24835,24117,24881,26331,27373,30253,27906,27863,28350,28646,28630,28314,28184,27826
"091 471 Kontula","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,12656,12810,12813,12743,12792,13167,13836,14594,15900,14641,14864,15184,15226,15093,14862,14792,14395
"091 472 Vesala","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,29331,29465,29893,29658,28703,29869,31307,32919,36081,33280,33883,34839,35333,35828,35801,36010,35194
"091 472 Vesala","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,12447,12532,12777,12721,12781,13247,14134,15015,16272,15057,15715,16103,16324,16460,16536,16695,16410
"091 473 Mellunmäki","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,27327,27643,27814,27961,26825,27974,29953,31080,33755,31786,31959,32357,33100,32945,33294,32594,31932
"091 473 Mellunmäki","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,13454,13745,13931,14193,14287,14780,15936,16691,17935,16788,17032,17327,17646,17563,17803,17494,17310
"091 474 Kivikko","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,25180,25527,26013,26582,25234,26408,28498,29508,33873,29561,30242,30534,30701,31100,30990,30451,30288
"091 474 Kivikko","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,10164,10379,10572,10907,10872,11278,12077,12815,14433,12657,13249,13399,13631,13912,14024,13746,13769
"091 475 Kurkimäki","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,25685,25626,25075,24776,23772,24760,25822,27565,31317,27867,28696,28507,29250,29342,29272,29017,28254
"091 475 Kurkimäki","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,11118,11178,11175,11349,11607,11791,12504,13639,14916,13416,14116,14137,14400,14360,14314,14025,13611
"091 704 Vuosaaren peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,28965,29783,29884,30090,29464,31152,33175,34790,38137,35680,35825,36480,37056,37185,36952,36982,36379
"091 704 Vuosaaren peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,13304,13666,13860,14131,14435,15163,16171,17098,18494,17317,17789,18193,18513,18577,18511,18576,18421
"091 541 Keski-Vuosaari","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,27975,28438,28497,28486,27678,28940,30678,32132,35011,32811,33133,33828,34361,34561,34304,34543,33970
"091 541 Keski-Vuosaari","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,14073,14125,14200,14435,14492,15003,15875,16743,18032,16989,17470,17958,18341,18450,18287,18445,18340
"091 542 Nordsjön kartano","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 542 Nordsjön kartano","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 543 Uutela","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 543 Uutela","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 544 Meri-Rastila","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,25662,25576,25283,25432,24927,26109,28572,30436,34621,31204,30821,31218,32025,31686,32320,32461,32227
"091 544 Meri-Rastila","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,10835,10798,10784,10883,11347,11568,12712,13683,15207,13817,14181,14303,14608,14497,14929,14976,14930
"091 545 Kallahti","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,26568,26722,26055,25753,24866,25833,27035,28268,32798,28843,28430,28558,28934,28918,28583,28232,27831
"091 545 Kallahti","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,11633,11799,11594,11400,11544,11932,12630,13391,15214,13383,13495,13575,13877,13851,13726,13667,13431
"091 546 Aurinkolahti","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,34397,43001,39704,38146,37650,40840,42222,43946,46578,45489,45980,46313,46983,46892,46647,46186,45773
"091 546 Aurinkolahti","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,19101,22348,20777,20562,20879,22468,22536,23362,24527,23659,24384,24698,24908,24682,24406,24074,23917
"091 547 Rastila","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,40939,41175,41702,42496,41781,43119,45624,47677,50190,48385,48801,49511,49714,50077,47881,47962,44795
"091 547 Rastila","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,16545,16786,17088,17395,17499,18077,19110,20185,21138,20308,20952,21183,21132,21470,21050,21369,20779
"091 548 Niinisaari","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 548 Niinisaari","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 549 Mustavuori","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 549 Mustavuori","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 8 Östersundomin suurpiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,76415,80481,81864,85762,85593,87275,89740,88049,89479,90408
"091 8 Östersundomin suurpiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23780,24643,25263,26849,26778,28009,28666,28522,29111,30091
"091 801 Östersundomin peruspiiri","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,76415,80481,81864,85762,85593,87275,89740,88049,89479,90408
"091 801 Östersundomin peruspiiri","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23780,24643,25263,26849,26778,28009,28666,28522,29111,30091
"091 550 Östersundom","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62761,64814,64670,65906,66925,67654,67377,66276,67699,63362
"091 550 Östersundom","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23012,23418,23215,24887,24865,25354,25219,24869,25675,24351
"091 560 Salmenkallio","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..
"091 560 Salmenkallio","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..
"091 570 Talosaari","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..
"091 570 Talosaari","Kunnallisverotuksessa verotettava tulo € / henkilö",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..
"091 580 Karhusaari","Kunnallisverotuksessa verotettava tulo € / asuntokunta",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,97090,105559,114088,114874,115225,118785,126254,118402,114699,116549
