"Alue","1993 Valtionveronalaiset tulot € / henkilö","1994 Valtionveronalaiset tulot € / henkilö","1995 Valtionveronalaiset tulot € / henkilö","1996 Valtionveronalaiset tulot € / henkilö","1997 Valtionveronalaiset tulot € / henkilö","1998 Valtionveronalaiset tulot € / henkilö","1999 Valtionveronalaiset tulot € / henkilö","2000 Valtionveronalaiset tulot € / henkilö","2001 Valtionveronalaiset tulot € / henkilö","2002 Valtionveronalaiset tulot € / henkilö","2003 Valtionveronalaiset tulot € / henkilö","2004 Valtionveronalaiset tulot € / henkilö","2005 Valtionveronalaiset tulot € / henkilö","2006 Valtionveronalaiset tulot € / henkilö","2007 Valtionveronalaiset tulot € / henkilö","2008 Valtionveronalaiset tulot € / henkilö","2009 Valtionveronalaiset tulot € / henkilö","2010 Valtionveronalaiset tulot € / henkilö","2011 Valtionveronalaiset tulot € / henkilö","2012 Valtionveronalaiset tulot € / henkilö","2013 Valtionveronalaiset tulot € / henkilö","2014 Valtionveronalaiset tulot € / henkilö","2015 Valtionveronalaiset tulot € / henkilö","2016 Valtionveronalaiset tulot € / henkilö","2017 Valtionveronalaiset tulot € / henkilö"
"091 306 Talinranta",.,.,.,.,.,.,14283,14759,15439,16154,16931,17309,17281,17563,18904,19930,23706,20825,21401,21305,21848,22243,23483,22887,23041
"091 203 Haagan peruspiiri",14733,14856,15267,15790,16697,17537,18824,20211,20210,20772,21203,22012,22060,23046,24062,24517,27319,25374,25898,26444,26670,26948,27284,27442,27678
"091 291 Etelä-Haaga",15531,15774,16275,16839,18024,18965,20158,21830,21844,22474,22934,23692,23663,24866,26031,26651,29423,27289,28529,29031,28897,29373,29656,30041,30123
"091 292 Kivihaka",15823,16678,16821,17115,17774,18556,19997,22191,21543,22329,22898,24190,23676,25742,26650,27223,29861,28558,28546,27841,28342,28796,28638,29373,30244
"091 293 Pohjois-Haaga",13796,13817,14114,14507,15052,15798,17135,18229,18186,18521,18959,19653,19842,20475,21353,21752,24811,23004,23025,23710,24007,24134,24545,24269,24697
"091 294 Lassila",14238,14076,14527,15270,16128,16892,18304,19290,19526,20317,20513,21621,21706,22611,23470,23558,25919,24274,24660,25316,26171,26266,26536,26753,26855
"091 204 Pitäjänmäen peruspiiri",14009,14448,14905,15480,15650,16466,17751,19008,19385,19740,20509,21144,21434,22248,23649,24216,26118,24915,25122,25930,26305,26212,26506,26515,26849
"091 320 Konala",14081,14333,15023,15701,16560,17416,19803,21013,20630,20806,21413,22219,22716,23163,24496,25010,26470,25940,26005,26449,26769,27007,27414,27236,27692
"091 461 Pajamäki",14223,14461,14726,15401,16040,16850,18578,19581,19870,20432,20857,21879,21967,23332,25006,25112,27262,25683,25905,26293,26962,26962,26754,27217,27885
"091 462 Tali",..,..,..,..,..,11133,12406,13917,14298,14711,15264,15762,15994,17167,18071,19438,21695,19357,19818,20884,20556,20045,20170,20854,21208
